name	epoch	version	release	arch	vendor	build_time
libelf1	0	0.185	150400.5.8.3	x86_64	SUSE LLC <https://www.suse.com/>	1761934788
libexpat1	0	2.7.1	150700.3.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1774600186
libfa1	0	1.14.1	150600.3.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1745485086
libfdisk1	0	2.40.4	150700.4.18.1	x86_64	SUSE LLC <https://www.suse.com/>	1787159150
libffi7	0	3.2.1.git259	10.8	x86_64	SUSE LLC <https://www.suse.com/>	1591405058
libgcc_s1	0	15.3.0+git11272	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1781599475
libgcrypt20	0	1.11.0	150700.5.10.1	x86_64	SUSE LLC <https://www.suse.com/>	1784045689
libgdbm4	0	1.12	1.418	x86_64	SUSE LLC <https://www.suse.com/>	1527268027
libgio-2_0-0	0	2.78.6	150600.4.38.1	x86_64	SUSE LLC <https://www.suse.com/>	1784633992
libglib-2_0-0	0	2.78.6	150600.4.38.1	x86_64	SUSE LLC <https://www.suse.com/>	1784633992
libgmodule-2_0-0	0	2.78.6	150600.4.38.1	x86_64	SUSE LLC <https://www.suse.com/>	1784633992
libgmp10	0	6.1.2	4.9.1	x86_64	SUSE LLC <https://www.suse.com/>	1637239981
libgobject-2_0-0	0	2.78.6	150600.4.38.1	x86_64	SUSE LLC <https://www.suse.com/>	1784633992
libgomp1	0	15.3.0+git11272	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1781599475
libgpg-error0	0	1.50	150700.1.8	x86_64	SUSE LLC <https://www.suse.com/>	1746194817
libgpgme11	0	1.23.0	150600.3.5.1	x86_64	SUSE LLC <https://www.suse.com/>	1763379023
libidn2-0	0	2.2.0	3.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1608648023
libip4tc2	0	1.8.7	1.1	x86_64	SUSE LLC <https://www.suse.com/>	1617957150
libip6tc2	0	1.8.7	1.1	x86_64	SUSE LLC <https://www.suse.com/>	1617957150
libisl15	0	0.18	1.443	x86_64	SUSE LLC <https://www.suse.com/>	1527268044
libisoburn1	0	1.5.6	150600.1.6	x86_64	SUSE LLC <https://www.suse.com/>	1715244855
libisofs6	0	1.5.6	150600.1.5	x86_64	SUSE LLC <https://www.suse.com/>	1709922685
libitm1	0	15.3.0+git11272	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1781599475
libjitterentropy3	0	3.4.1	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1717429826
libjq1	0	1.6	150000.3.20.1	x86_64	SUSE LLC <https://www.suse.com/>	1783012366
libjson-c5	0	0.16	150600.1.4	x86_64	SUSE LLC <https://www.suse.com/>	1710777442
libkeyutils1	0	1.6.3	5.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1637661177
libkmod2	0	29	150600.13.6.1	x86_64	SUSE LLC <https://www.suse.com/>	1782316089
libksba8	0	1.6.4	150600.1.2	x86_64	SUSE LLC <https://www.suse.com/>	1709922785
libldap-2_4-2	0	2.4.46	150600.25.3.1	x86_64	SUSE LLC <https://www.suse.com/>	1772574582
libldap-data	0	2.4.46	150600.25.3.1	noarch	SUSE LLC <https://www.suse.com/>	1772574582
liblsan0	0	15.3.0+git11272	150000.1.12.1	x86_64	SUSE LLC <https://www.suse.com/>	1781599475
